macd,rsi,wr,c_mov5,deltamov5,turnover,signal
0.001,50.746,-49.87,-0.001,0.0,937.8,0
0.001,50.746,-49.87,-0.001,0.007,28683.92,0
0.001,50.746,-66.436,-0.0,-0.002,33016.1,0
0.0,44.45,-100.0,-0.007,-0.014,54276.79,0
0.0,50.997,-49.741,0.002,0.003,6375.74,0
-0.001,45.253,-100.0,-0.005,-0.004,25581.350000000002,0
-0.001,45.253,-100.0,-0.003,-0.003,10127.02,0
-0.002,40.073,-100.0,-0.009,-0.008,135307.35,0
-0.002,46.65,-66.782,0.001,0.007,14552.78,0
-0.003,41.719,-75.065,-0.006,-0.008,82867.27,0
-0.004,41.719,-75.065,-0.004,0.001,43219.689999999995,0
-0.005,37.163,-100.0,-0.009,-0.006,93513.76000000001,1
-0.005,43.775,-75.065,0.0,0.009,63302.42,1
-0.004,49.498,-50.13,0.007,0.006,145489.13,1
-0.005,44.608,-66.782,-0.002,0.004,122722.74,1
-0.003,54.368,-0.0,0.012,0.016,20407.57,1
-0.001,58.304,-0.0,0.014,0.023,35565.96,1
0.0,58.304,-0.0,0.009,0.009,16189.239999999998,1
0.001,53.002,-24.935,-0.0,-0.007,11422.239999999998,1
0.002,57.194,-0.0,0.006,0.008,37543.979999999996,1
0.002,52.182,-24.935,-0.002,-0.014,2683.1499999999996,1
0.001,47.639,-50.13,-0.008,-0.022,10921.0,1
0.002,52.127,-24.935,0.001,-0.008,41714.42,1
0.002,52.127,-24.935,0.001,0.001,63947.54000000001,1
0.002,52.127,-24.935,0.001,-0.006,38650.79,1
0.001,47.086,-66.782,-0.006,-0.004,1489.4,1
